subset	RMSE (kcal\mol)	r
fa_atr	1.66769178129	0.198829114008
fa_pair	1.67989455461	0.0718461005526
fa_atr fa_pair	1.62874462799	0.270864201347
fa_rep	1.70831229497	-0.126070221869
fa_atr fa_rep	1.67414531042	0.192406204548
fa_pair fa_rep	1.6801298303	0.0813953995934
fa_atr fa_pair fa_rep	1.6354220704	0.263407704494
fa_sol	1.74147558428	-0.0853254432547
fa_atr fa_sol	1.50809576151	0.440086484642
fa_pair fa_sol	1.69250248786	0.102272882375
fa_atr fa_pair fa_sol	1.51386509388	0.4339148257
fa_rep fa_sol	1.74404127451	-0.0792316538718
fa_atr fa_rep fa_sol	1.51044242855	0.437581535157
fa_pair fa_rep fa_sol	1.69483273742	0.0994849730665
fa_atr fa_pair fa_rep fa_sol	1.51609158018	0.431671770981
hbond_bb_sc	1.75240074243	-0.23829410282
fa_atr hbond_bb_sc	1.63305055526	0.270912778379
fa_pair hbond_bb_sc	1.7121581985	-0.0178175137982
fa_atr fa_pair hbond_bb_sc	1.5969701231	0.323570683517
fa_rep hbond_bb_sc	1.75643037036	-0.186711936374
fa_atr fa_rep hbond_bb_sc	1.635339004	0.270512504326
fa_pair fa_rep hbond_bb_sc	1.71343145516	-0.00139327599066
fa_atr fa_pair fa_rep hbond_bb_sc	1.59982437907	0.321192978937
fa_sol hbond_bb_sc	1.76123807072	-0.102325782046
fa_atr fa_sol hbond_bb_sc	1.50864266123	0.440582792039
fa_pair fa_sol hbond_bb_sc	1.69850092529	0.0978017510168
fa_atr fa_pair fa_sol hbond_bb_sc	1.51516557966	0.433641087074
fa_rep fa_sol hbond_bb_sc	1.76878497638	-0.102410529096
fa_atr fa_rep fa_sol hbond_bb_sc	1.50953972725	0.439765741476
fa_pair fa_rep fa_sol hbond_bb_sc	1.70459043836	0.0886563375925
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc	1.51608978431	0.432904427368
hbond_lr_bb	1.74669741736	-0.229366712667
fa_atr hbond_lr_bb	1.76520620598	0.104057661957
fa_pair hbond_lr_bb	1.72272044243	-0.0421673520316
fa_atr fa_pair hbond_lr_bb	1.72069991394	0.177369636077
fa_rep hbond_lr_bb	1.74823383982	-0.162321528868
fa_atr fa_rep hbond_lr_bb	1.77248529822	0.100464538949
fa_pair fa_rep hbond_lr_bb	1.72215790689	-0.0177948147995
fa_atr fa_pair fa_rep hbond_lr_bb	1.72745369128	0.172793270759
fa_sol hbond_lr_bb	1.80506237575	-0.131606469074
fa_atr fa_sol hbond_lr_bb	1.56474332441	0.386266058204
fa_pair fa_sol hbond_lr_bb	1.77357698089	0.00407406803736
fa_atr fa_pair fa_sol hbond_lr_bb	1.57008342378	0.381453135172
fa_rep fa_sol hbond_lr_bb	1.80434081716	-0.121719625042
fa_atr fa_rep fa_sol hbond_lr_bb	1.5666662852	0.385206779185
fa_pair fa_rep fa_sol hbond_lr_bb	1.77343635602	0.00589712882172
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb	1.57168011311	0.380829307635
hbond_bb_sc hbond_lr_bb	1.79647923076	-0.219575059039
fa_atr hbond_bb_sc hbond_lr_bb	1.69546446801	0.209724342898
fa_pair hbond_bb_sc hbond_lr_bb	1.76291179278	-0.0879759278484
fa_atr fa_pair hbond_bb_sc hbond_lr_bb	1.65225141406	0.27029802094
fa_rep hbond_bb_sc hbond_lr_bb	1.79773719109	-0.183667195196
fa_atr fa_rep hbond_bb_sc hbond_lr_bb	1.69231007918	0.218291999177
fa_pair fa_rep hbond_bb_sc hbond_lr_bb	1.76219155991	-0.0654231673102
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb	1.64887000599	0.277295953487
fa_sol hbond_bb_sc hbond_lr_bb	1.81554243453	-0.13986004193
fa_atr fa_sol hbond_bb_sc hbond_lr_bb	1.54688171777	0.40742783661
fa_pair fa_sol hbond_bb_sc hbond_lr_bb	1.76513356976	0.0184052570429
fa_atr fa_pair fa_sol hbond_bb_sc hbond_lr_bb	1.55284801331	0.401633415909
fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.8178604348	-0.133957494432
fa_atr fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.54198932349	0.413385810385
fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.76745913157	0.0164281834577
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.54777414635	0.407821238161
hbond_sc	1.71091646237	-0.278321780756
fa_atr hbond_sc	1.6474683566	0.240065356258
fa_pair hbond_sc	1.68978505786	0.0378504984183
fa_atr fa_pair hbond_sc	1.62236338339	0.284543581122
fa_rep hbond_sc	1.7134655023	-0.148255785123
fa_atr fa_rep hbond_sc	1.65065702866	0.238648703091
fa_pair fa_rep hbond_sc	1.68967582459	0.0515155135077
fa_atr fa_pair fa_rep hbond_sc	1.62644771149	0.281044096154
fa_sol hbond_sc	1.74709742076	-0.0704751764371
fa_atr fa_sol hbond_sc	1.51737565908	0.429867200321
fa_pair fa_sol hbond_sc	1.70116563215	0.0927532872961
fa_atr fa_pair fa_sol hbond_sc	1.52311191612	0.423900524156
fa_rep fa_sol hbond_sc	1.74896279444	-0.0681408254215
fa_atr fa_rep fa_sol hbond_sc	1.5187392814	0.428595298306
fa_pair fa_rep fa_sol hbond_sc	1.70279718303	0.0906882773915
fa_atr fa_pair fa_rep fa_sol hbond_sc	1.52435486814	0.422899326729
hbond_bb_sc hbond_sc	1.76869017519	-0.245932167963
