subset	RMSE (kcal\mol)	r
fa_atr	1.61164125235	0.610143710303
fa_pair	1.98601570423	0.238950567956
fa_atr fa_pair	1.62481054922	0.601814091709
fa_rep	2.15138853117	0.0496567469767
fa_atr fa_rep	1.64600889361	0.589735530443
fa_pair fa_rep	2.02854813271	0.222754610888
fa_atr fa_pair fa_rep	1.65100392906	0.585472566534
fa_sol	1.86557425749	0.403374638734
fa_atr fa_sol	1.59114205731	0.62312803609
fa_pair fa_sol	1.84964546504	0.42029045044
fa_atr fa_pair fa_sol	1.59836881898	0.61864584436
fa_rep fa_sol	1.94533655584	0.344898712634
fa_atr fa_rep fa_sol	1.61876608463	0.607780516786
fa_pair fa_rep fa_sol	1.90721807887	0.374734799874
fa_atr fa_pair fa_rep fa_sol	1.61686262637	0.6080447033
hbond_bb_sc	2.1015509696	-0.182092726333
fa_atr hbond_bb_sc	1.60538744789	0.614058676846
fa_pair hbond_bb_sc	2.00552834127	0.210052579825
fa_atr fa_pair hbond_bb_sc	1.61532518409	0.607835258347
fa_rep hbond_bb_sc	2.17875959523	0.0186518259103
fa_atr fa_rep hbond_bb_sc	1.62854667428	0.60038796275
fa_pair fa_rep hbond_bb_sc	2.04686117968	0.199334124372
fa_atr fa_pair fa_rep hbond_bb_sc	1.63340336057	0.596658729195
fa_sol hbond_bb_sc	1.8484193467	0.423391996246
fa_atr fa_sol hbond_bb_sc	1.61036427288	0.611322807667
fa_pair fa_sol hbond_bb_sc	1.83190255879	0.438673582495
fa_atr fa_pair fa_sol hbond_bb_sc	1.6117057997	0.610397249732
fa_rep fa_sol hbond_bb_sc	1.91171207447	0.375871358201
fa_atr fa_rep fa_sol hbond_bb_sc	1.63094376243	0.599562179847
fa_pair fa_rep fa_sol hbond_bb_sc	1.88302553977	0.397650390177
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc	1.62628872511	0.601834594147
hbond_lr_bb	2.05349470461	-0.0161553537358
fa_atr hbond_lr_bb	1.61433650388	0.608603483457
fa_pair hbond_lr_bb	1.98443052316	0.245469172311
fa_atr fa_pair hbond_lr_bb	1.62880630242	0.599379366864
fa_rep hbond_lr_bb	2.14518198659	0.0766778990404
fa_atr fa_rep hbond_lr_bb	1.65038250074	0.587256851235
fa_pair fa_rep hbond_lr_bb	2.0289623576	0.229379994617
fa_atr fa_pair fa_rep hbond_lr_bb	1.65649805757	0.582128330938
fa_sol hbond_lr_bb	1.86092629734	0.409747794632
fa_atr fa_sol hbond_lr_bb	1.59377215143	0.621628833601
fa_pair fa_sol hbond_lr_bb	1.84822722226	0.422830926614
fa_atr fa_pair fa_sol hbond_lr_bb	1.60206169872	0.616460791591
fa_rep fa_sol hbond_lr_bb	1.94227897829	0.352271968106
fa_atr fa_rep fa_sol hbond_lr_bb	1.622511321	0.605613078383
fa_pair fa_rep fa_sol hbond_lr_bb	1.90784968097	0.377220047381
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb	1.62129204533	0.605373314724
hbond_bb_sc hbond_lr_bb	2.08592280833	-0.0203752427786
fa_atr hbond_bb_sc hbond_lr_bb	1.60101292752	0.616997233849
fa_pair hbond_bb_sc hbond_lr_bb	1.99510283105	0.231966759451
fa_atr fa_pair hbond_bb_sc hbond_lr_bb	1.61226967688	0.609945429446
fa_rep hbond_bb_sc hbond_lr_bb	2.16066410392	0.0653803651353
fa_atr fa_rep hbond_bb_sc hbond_lr_bb	1.62505950667	0.602967918279
fa_pair fa_rep hbond_bb_sc hbond_lr_bb	2.03664444535	0.219662534964
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb	1.63141650649	0.598251461485
fa_sol hbond_bb_sc hbond_lr_bb	1.82576865621	0.447415303036
fa_atr fa_sol hbond_bb_sc hbond_lr_bb	1.60801471251	0.61297651878
fa_pair fa_sol hbond_bb_sc hbond_lr_bb	1.81478667605	0.4563662916
fa_atr fa_pair fa_sol hbond_bb_sc hbond_lr_bb	1.6103385253	0.611423801863
fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.88691972863	0.40374274352
fa_atr fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.62903798302	0.600881889369
fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb	1.86558548738	0.417639666891
