subset	RMSE (kcal\mol)	r
fa_atr	1.68516744658	0.174876225924
fa_pair	1.6995946008	-0.0871571674436
fa_atr fa_pair	1.67253093291	0.201908600371
fa_rep	1.76056378267	0.00280413208172
fa_atr fa_rep	1.72317699536	0.149882149163
fa_pair fa_rep	1.75231507699	0.018334750866
fa_atr fa_pair fa_rep	1.70850928617	0.174576600966
fa_sol	1.73658185337	-0.0680606386674
fa_atr fa_sol	1.54001036419	0.400936742136
fa_pair fa_sol	1.71843738284	0.0174738592482
fa_atr fa_pair fa_sol	1.53636646605	0.408729275083
fa_rep fa_sol	1.77988318436	-0.00204326682241
fa_atr fa_rep fa_sol	1.56369571228	0.37499630283
fa_pair fa_rep fa_sol	1.76032469374	0.0362276615119
fa_atr fa_pair fa_rep fa_sol	1.55582341242	0.388239065412
hbond_bb_sc	1.74283500057	-0.184766696768
fa_atr hbond_bb_sc	1.69881568494	0.185343635494
fa_pair hbond_bb_sc	1.72741128386	-0.140515663232
fa_atr fa_pair hbond_bb_sc	1.67522100751	0.219212888469
fa_rep hbond_bb_sc	1.79014758724	-0.0334103263738
fa_atr fa_rep hbond_bb_sc	1.73674357572	0.156668833768
fa_pair fa_rep hbond_bb_sc	1.77520782193	-0.0151876610229
fa_atr fa_pair fa_rep hbond_bb_sc	1.71007122801	0.18910397886
fa_sol hbond_bb_sc	1.7861860188	-0.122176712206
fa_atr fa_sol hbond_bb_sc	1.54702111517	0.395807308458
fa_pair fa_sol hbond_bb_sc	1.746248502	-0.0266889895868
fa_atr fa_pair fa_sol hbond_bb_sc	1.54619732618	0.399882484357
fa_rep fa_sol hbond_bb_sc	1.8247045522	-0.0504418214685
fa_atr fa_rep fa_sol hbond_bb_sc	1.57151431892	0.369871440653
fa_pair fa_rep fa_sol hbond_bb_sc	1.7889456842	-0.00137088634554
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc	1.56707372343	0.378250656361
hbond_lr_bb	1.75063698817	-0.248741850913
fa_atr hbond_lr_bb	1.74791084304	0.105107989504
fa_pair hbond_lr_bb	1.75188139682	-0.201268327205
fa_atr fa_pair hbond_lr_bb	1.73722006131	0.128461462294
fa_rep hbond_lr_bb	1.80011934675	-0.0353238213741
fa_atr fa_rep hbond_lr_bb	1.78135063299	0.0972990812758
fa_pair fa_rep hbond_lr_bb	1.79977997004	-0.0344527643805
fa_atr fa_pair fa_rep hbond_lr_bb	1.77040824686	0.114967095151
fa_sol hbond_lr_bb	1.78145806462	-0.126301346122
fa_atr fa_sol hbond_lr_bb	1.59256592132	0.353554935952
fa_pair fa_sol hbond_lr_bb	1.77540228699	-0.0684794698108
fa_atr fa_pair fa_sol hbond_lr_bb	1.58713828298	0.366608945045
fa_rep fa_sol hbond_lr_bb	1.81784466097	-0.0343176613702
fa_atr fa_rep fa_sol hbond_lr_bb	1.61448190694	0.332477772395
fa_pair fa_rep fa_sol hbond_lr_bb	1.81151611692	-0.0159509238577
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb	1.60490076706	0.349600792244
hbond_bb_sc hbond_lr_bb	1.78452432462	-0.198548224711
fa_atr hbond_bb_sc hbond_lr_bb	1.74874921716	0.137516187153
fa_pair hbond_bb_sc hbond_lr_bb	1.77932549045	-0.18812026229
fa_atr fa_pair hbond_bb_sc hbond_lr_bb	1.72315777718	0.173700817285
fa_rep hbond_bb_sc hbond_lr_bb	1.82380038849	-0.0534400419217
fa_atr fa_rep hbond_bb_sc hbond_lr_bb	1.783288801	0.117042749142
fa_pair fa_rep hbond_bb_sc hbond_lr_bb	1.82043532149	-0.0523871463655
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb	1.75657721091	0.149042495316
fa_sol hbond_bb_sc hbond_lr_bb	1.82760715298	-0.153911618577
fa_atr fa_sol hbond_bb_sc hbond_lr_bb	1.57868690956	0.373827046395
